"Date","Price","Open","High","Low","Change %"
"Nov 20, 2020","18,662.5","17,811.6","18,721.3","17,811.6","4.78%"
"Nov 19, 2020","17,811.6","17,775.6","18,001.6","17,479.1","0.22%"
"Nov 18, 2020","17,772.5","17,662.4","18,158.6","17,662.4","0.62%"
"Nov 17, 2020","17,662.4","16,705.6","17,662.4","16,657.0","5.73%"
"Nov 16, 2020","16,705.6","15,951.6","16,770.0","15,951.6","4.73%"
"Nov 15, 2020","15,951.6","16,070.7","16,075.8","15,866.8","-0.74%"
"Nov 14, 2020","16,070.7","16,328.4","16,328.4","15,843.2","-1.58%"
"Nov 13, 2020","16,328.4","16,287.6","16,432.1","16,160.0","0.25%"
"Nov 12, 2020","16,287.6","15,690.3","16,287.6","15,615.4","3.81%"
"Nov 11, 2020","15,690.3","15,295.9","15,838.9","15,295.9","2.58%"
"Nov 10, 2020","15,295.9","15,314.3","15,364.7","15,243.3","-0.12%"
"Nov 09, 2020","15,314.3","15,473.0","15,612.4","14,926.0","-1.03%"
"Nov 08, 2020","15,473.0","14,805.0","15,520.0","14,805.0","4.43%"
"Nov 07, 2020","14,816.5","15,571.3","15,632.3","14,800.0","-4.85%"
"Nov 06, 2020","15,571.3","15,586.0","15,871.3","15,411.0","-0.09%"
"Nov 05, 2020","15,586.0","14,141.2","15,586.0","14,141.2","10.22%"
"Nov 04, 2020","14,141.2","14,013.4","14,141.5","13,662.4","0.91%"
"Nov 03, 2020","14,013.4","13,559.5","14,013.4","13,333.8","3.35%"
"Nov 02, 2020","13,559.5","13,753.7","13,762.9","13,406.7","-1.41%"
"Nov 01, 2020","13,753.7","13,794.5","13,840.0","13,693.3","-0.30%"
"Oct 31, 2020","13,794.7","13,550.4","13,956.5","13,503.5","1.80%"
"Oct 30, 2020","13,550.4","13,452.1","13,585.2","13,231.0","0.73%"
"Oct 29, 2020","13,452.1","13,271.9","13,523.4","13,134.2","1.36%"
"Oct 28, 2020","13,271.9","13,648.5","13,748.3","13,190.9","-2.76%"
"Oct 27, 2020","13,648.5","13,050.0","13,671.1","13,050.0","4.59%"
"Oct 26, 2020","13,050.0","13,024.5","13,130.6","12,936.8","0.20%"
"Oct 25, 2020","13,024.5","13,115.2","13,270.0","12,937.8","-0.69%"
"Oct 24, 2020","13,115.2","12,921.0","13,119.6","12,913.5","1.50%"
"Oct 23, 2020","12,921.0","12,968.6","12,991.8","12,861.5","-0.37%"
"Oct 22, 2020","12,968.6","12,796.7","13,133.7","12,758.2","1.34%"
"Oct 21, 2020","12,796.7","11,910.3","12,900.0","11,910.3","7.44%"
